ID,Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
1.1,125 m²,3 + 1,21 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.150.000
TL"
1.2,125 m²,3 + 1,25 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.150.000
TL"
1.3,130 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.770.000
TL"
1.4,110 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.350.000
TL"
1.5,125 m²,3 + 1,21 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.600.000
TL"
1.6,115 m²,2 + 1,8 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.150.000
TL"
1.7,130 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","1.950.000
TL"
1.8,90 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.250.000
TL"
1.9,125 m²,3 + 1,33 Yaşında,İzmir,"Balçova, Onur Mahallesi","4.250.000
TL"
1.10,180 m²,3 + 1,19 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","6.250.000
TL"
1.11,105 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Onur Mahallesi","4.450.000
TL"
1.12,110 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.350.000
TL"
1.13,110 m²,2 + 1,13 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.125.000
TL"
1.14,125 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.400.000
TL"
1.15,170 m²,3 + 1,28 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.750.000
TL"
1.16,95 m²,2 + 1,26 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.100.000
TL"
1.17,140 m²,3 + 1,25 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","3.500.000
TL"
1.18,95 m²,2 + 1,3 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.400.000
TL"
1.19,85 m²,2 + 1,33 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","3.100.000
TL"
1.20,55 m²,Stüdyo,30 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","1.600.000
TL"
1.21,120 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","2.500.000
TL"
1.22,170 m²,3 + 1,28 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.950.000
TL"
1.23,145 m²,3 + 1,6 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","4.650.000
TL"
1.24,105 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.250.000
TL"
2.1,128 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","4.250.000
TL"
2.2,115 m²,2 + 1,7 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","4.000.000
TL"
2.3,85 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","1.600.000
TL"
2.4,165 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.500.000
TL"
2.5,105 m²,2 + 1,8 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.150.000
TL"
2.6,140 m²,3 + 1,25 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","3.500.000
TL"
2.7,130 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","1.950.000
TL"
2.8,110 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","2.050.000
TL"
2.9,47 m²,Stüdyo,30 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","1.600.000
TL"
2.10,110 m²,3 + 1,6 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","5.800.000
TL"
2.11,167 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.750.000
TL"
2.12,110 m²,2 + 1,31 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.700.000
TL"
2.13,115 m²,3 + 1,11 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","4.650.000
TL"
2.14,155 m²,3 + 1,3 Yaşında,İzmir,"Balçova, Onur Mahallesi","6.700.000
TL"
2.15,295 m²,4 + 2,16 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","15.500.000
TL"
2.16,120 m²,3 + 1,34 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.600.000
TL"
2.17,185 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","6.000.000
TL"
2.18,204 m²,5 + 2,25 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","12.500.000
TL"
2.19,140 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.500.000
TL"
2.20,165 m²,4 + 1,28 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","4.200.000
TL"
2.21,120 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.250.000
TL"
2.22,105 m²,2 + 1,28 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.500.000
TL"
2.23,115 m²,2 + 1,7 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","4.950.000
TL"
2.24,125 m²,3 + 1,20 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.500.000
TL"
3.1,110 m²,2 + 1,17 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","6.500.000
TL"
3.2,130 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","4.500.000
TL"
3.3,110 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.000.000
TL"
3.4,140 m²,3 + 1,Sıfır Bina,İzmir,"Balçova, Onur Mahallesi","6.500.000
TL"
3.5,330 m²,4 + 1,21 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","10.750.000
TL"
3.6,165 m²,4 + 1,30 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","4.500.000
TL"
3.7,110 m²,2 + 1,31 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.800.000
TL"
3.8,111 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.500.000
TL"
3.9,110 m²,2 + 1,21 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.250.000
TL"
3.10,75 m²,2 + 1,8 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","1.800.000
TL"
3.11,91 m²,6 + 1,35 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.500.000
TL"
3.12,550 m²,6 + 3,12 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","40.000.000
TL"
3.13,142 m²,3 + 1,34 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.350.000
TL"
3.14,90 m²,2 + 1,8 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.200.000
TL"
3.15,115 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.500.000
TL"
3.16,400 m²,6 + 2,12 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","26.500.000
TL"
3.17,120 m²,2 + 1,27 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.150.000
TL"
3.18,87 m²,2 + 1,Sıfır Bina,İzmir,"Balçova, Eğitim Mahallesi","4.250.000
TL"
3.19,110 m²,2 + 1,21 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","2.500.000
TL"
3.20,90 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","1.990.000
TL"
3.21,95 m²,2 + 1,10 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.275.000
TL"
3.22,170 m²,3 + 1,13 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","15.500.000
TL"
3.23,120 m²,3 + 1,36 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.500.000
TL"
3.24,80 m²,2 + 1,35 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.650.000
TL"
4.1,145 m²,3 + 1,38 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.500.000
TL"
4.2,160 m²,3 + 1,33 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.500.000
TL"
4.3,85 m²,2 + 1,31 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","3.100.000
TL"
4.4,182 m²,3 + 1,13 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","5.000.000
TL"
4.5,356 m²,5 + 1,Sıfır Bina,İzmir,"Balçova, Çetin Emeç Mahallesi","18.500.000
TL"
4.6,118 m²,3 + 1,5 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","5.800.000
TL"
4.7,120 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","2.250.000
TL"
4.8,105 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.250.000
TL"
4.9,110 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.150.000
TL"
4.10,58 m²,1 + 1,2 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","2.250.000
TL"
